age,body_type,education,ethnicity,height,income,job,orientation,religion,sex,sign,status
34,curvy,graduated from college/university,white,68,40000,artistic / musical / writer,straight,atheism,f,cancer but it doesn&rsquo;t matter,single
32,athletic,graduated from high school,"hispanic / latin, white, other",72,30000,other,straight,,m,taurus and it&rsquo;s fun to think about,single
34,average,dropped out of college/university,white,73,70000,computer / hardware / software,straight,,m,cancer,single
48,fit,graduated from masters program,asian,69,70000,education / academia,straight,,m,,single
35,average,graduated from ph.d program,asian,71,50000,other,straight,atheism and laughing about it,m,gemini but it doesn&rsquo;t matter,single
32,average,graduated from two-year college,white,72,40000,other,straight,other but not too serious about it,m,pisces but it doesn&rsquo;t matter,single
31,athletic,graduated from college/university,hispanic / latin,74,40000,education / academia,straight,,m,libra and it&rsquo;s fun to think about,single
45,athletic,graduated from college/university,white,70,100000,executive / management,straight,atheism,m,,single
37,fit,dropped out of two-year college,white,76,20000,medicine / health,straight,other,m,cancer and it&rsquo;s fun to think about,single
29,athletic,graduated from college/university,other,71,30000,education / academia,straight,other,m,cancer,single
22,jacked,graduated from college/university,white,91,150000,sales / marketing / biz dev,straight,other and laughing about it,f,,single
30,,working on college/university,"middle eastern, white",70,60000,computer / hardware / software,straight,judaism and laughing about it,m,capricorn and it&rsquo;s fun to think about,single
25,athletic,graduated from space camp,white,72,150000,science / tech / engineering,straight,,m,,single
30,fit,,"native american, white",72,50000,other,straight,,m,gemini and it&rsquo;s fun to think about,single
31,used up,dropped out of med school,other,65,20000,artistic / musical / writer,bisexual,christianity and very serious about it,m,virgo,single
47,fit,high school,white,76,60000,construction / craftsmanship,straight,catholicism and laughing about it,m,virgo but it doesn&rsquo;t matter,single
52,fit,graduated from college/university,white,62,70000,rather not say,straight,other and somewhat serious about it,f,aquarius but it doesn&rsquo;t matter,single
31,fit,working on masters program,"native american, hispanic / latin, white",64,30000,political / government,straight,other and somewhat serious about it,f,pisces and it&rsquo;s fun to think about,single
44,average,graduated from college/university,white,72,100000,construction / craftsmanship,straight,agnosticism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,single
47,fit,graduated from college/university,white,66,100000,artistic / musical / writer,straight,other and laughing about it,f,virgo and it&rsquo;s fun to think about,single
33,athletic,graduated from college/university,asian,70,100000,science / tech / engineering,straight,christianity but not too serious about it,m,taurus but it doesn&rsquo;t matter,single
35,fit,graduated from masters program,"white, other",73,100000,computer / hardware / software,straight,agnosticism,m,leo,single
24,average,graduated from college/university,white,72,20000,unemployed,straight,,f,taurus but it doesn&rsquo;t matter,single
23,overweight,graduated from college/university,white,72,20000,student,straight,other and somewhat serious about it,m,leo but it doesn&rsquo;t matter,single
23,full figured,graduated from college/university,white,66,20000,sales / marketing / biz dev,gay,other but not too serious about it,f,capricorn and it&rsquo;s fun to think about,single
59,fit,graduated from college/university,asian,64,60000,education / academia,straight,other but not too serious about it,m,scorpio but it doesn&rsquo;t matter,single
27,average,working on college/university,asian,70,30000,sales / marketing / biz dev,straight,,m,aries,single
30,athletic,working on masters program,white,75,100000,military,straight,agnosticism,m,leo and it&rsquo;s fun to think about,available
18,athletic,working on college/university,white,73,20000,student,straight,other but not too serious about it,m,aries and it&rsquo;s fun to think about,single
20,athletic,dropped out of space camp,"middle eastern, white",67,20000,artistic / musical / writer,straight,buddhism and laughing about it,m,pisces,single
27,athletic,graduated from masters program,asian,68,60000,,straight,agnosticism but not too serious about it,m,scorpio,single
32,average,graduated from college/university,hispanic / latin,76,60000,banking / financial / real estate,straight,,m,taurus and it&rsquo;s fun to think about,single
31,average,graduated from two-year college,white,69,50000,executive / management,straight,other but not too serious about it,m,capricorn and it&rsquo;s fun to think about,single
26,curvy,working on two-year college,"hispanic / latin, white",64,20000,student,straight,christianity,f,taurus but it doesn&rsquo;t matter,single
37,fit,graduated from college/university,black,75,50000,transportation,straight,christianity and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,single
50,fit,graduated from two-year college,white,68,100000,science / tech / engineering,straight,atheism and laughing about it,m,gemini but it doesn&rsquo;t matter,single
32,curvy,graduated from space camp,"hispanic / latin, white",83,70000,other,straight,buddhism but not too serious about it,m,aries and it&rsquo;s fun to think about,single
23,average,working on college/university,asian,71,20000,artistic / musical / writer,straight,,m,sagittarius,single
28,athletic,graduated from college/university,white,69,100000,medicine / health,straight,,m,scorpio,single
23,fit,graduated from college/university,white,67,30000,artistic / musical / writer,straight,other,m,libra and it&rsquo;s fun to think about,single
52,a little extra,graduated from high school,hispanic / latin,70,70000,other,straight,christianity,m,pisces but it doesn&rsquo;t matter,single
25,athletic,graduated from two-year college,hispanic / latin,63,30000,sales / marketing / biz dev,straight,catholicism but not too serious about it,m,pisces but it doesn&rsquo;t matter,single
35,average,working on ph.d program,white,73,30000,student,straight,hinduism,m,virgo,single
59,thin,graduated from college/university,white,68,70000,,straight,christianity and somewhat serious about it,f,,single
19,a little extra,graduated from high school,white,73,20000,other,straight,,m,gemini,single
30,fit,college/university,white,66,40000,sales / marketing / biz dev,straight,atheism,f,pisces but it doesn&rsquo;t matter,single
38,curvy,graduated from masters program,"indian, white, other",67,80000,science / tech / engineering,straight,other but not too serious about it,f,aquarius and it&rsquo;s fun to think about,single
43,athletic,graduated from masters program,white,72,150000,other,straight,,m,taurus,single
64,athletic,graduated from masters program,white,69,60000,banking / financial / real estate,straight,judaism but not too serious about it,f,,single
35,fit,graduated from masters program,"black, white",74,100000,executive / management,straight,atheism and laughing about it,m,cancer but it doesn&rsquo;t matter,single
41,average,graduated from college/university,white,73,100000,entertainment / media,straight,agnosticism and laughing about it,m,taurus but it doesn&rsquo;t matter,single
26,skinny,graduated from college/university,white,64,50000,banking / financial / real estate,straight,christianity but not too serious about it,f,virgo and it&rsquo;s fun to think about,single
31,thin,graduated from college/university,"hispanic / latin, white",74,20000,construction / craftsmanship,straight,agnosticism and somewhat serious about it,m,aries but it doesn&rsquo;t matter,available
34,athletic,graduated from college/university,white,71,100000,sales / marketing / biz dev,straight,catholicism but not too serious about it,m,scorpio and it&rsquo;s fun to think about,single
57,skinny,graduated from college/university,white,66,30000,medicine / health,straight,christianity but not too serious about it,f,capricorn but it doesn&rsquo;t matter,single
27,skinny,graduated from law school,white,73,80000,law / legal services,straight,agnosticism but not too serious about it,m,cancer but it doesn&rsquo;t matter,single
36,fit,graduated from college/university,white,67,60000,student,straight,judaism,m,sagittarius,single
41,athletic,graduated from two-year college,white,71,70000,science / tech / engineering,straight,agnosticism but not too serious about it,m,gemini and it&rsquo;s fun to think about,single
30,athletic,graduated from college/university,white,70,100000,banking / financial / real estate,straight,catholicism but not too serious about it,m,pisces and it&rsquo;s fun to think about,single
21,a little extra,dropped out of space camp,white,73,20000,transportation,straight,,m,leo and it matters a lot,single
29,fit,graduated from college/university,white,70,70000,science / tech / engineering,straight,judaism and laughing about it,m,libra but it doesn&rsquo;t matter,single
28,average,working on college/university,"hispanic / latin, white, other",69,50000,construction / craftsmanship,straight,buddhism but not too serious about it,m,cancer and it&rsquo;s fun to think about,single
29,athletic,graduated from college/university,"asian, white",73,40000,hospitality / travel,straight,catholicism but not too serious about it,m,gemini and it&rsquo;s fun to think about,single
30,athletic,,hispanic / latin,70,40000,other,straight,,m,gemini,single
36,a little extra,graduated from two-year college,"asian, pacific islander",67,20000,other,straight,catholicism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,single
22,fit,graduated from college/university,white,67,50000,entertainment / media,straight,other,m,scorpio,single
38,,graduated from masters program,"black, native american, hispanic / latin, white, other",70,50000,entertainment / media,straight,catholicism and laughing about it,m,taurus and it&rsquo;s fun to think about,single
36,athletic,,hispanic / latin,62,30000,other,straight,buddhism but not too serious about it,m,pisces,single
33,thin,graduated from masters program,white,64,60000,education / academia,straight,catholicism,f,capricorn but it doesn&rsquo;t matter,single
24,fit,graduated from college/university,white,69,50000,executive / management,straight,christianity but not too serious about it,m,gemini and it&rsquo;s fun to think about,available
31,average,graduated from two-year college,black,69,40000,transportation,straight,other and laughing about it,m,libra and it&rsquo;s fun to think about,single
22,athletic,graduated from college/university,white,68,60000,entertainment / media,straight,other,m,scorpio,single
23,full figured,graduated from college/university,black,70,20000,other,bisexual,christianity but not too serious about it,f,taurus and it&rsquo;s fun to think about,single
38,curvy,graduated from college/university,pacific islander,68,50000,banking / financial / real estate,straight,christianity and somewhat serious about it,f,gemini and it&rsquo;s fun to think about,single
27,average,working on college/university,white,73,20000,student,straight,agnosticism but not too serious about it,m,aquarius and it&rsquo;s fun to think about,seeing someone
25,a little extra,working on masters program,white,68,20000,education / academia,gay,catholicism and laughing about it,m,,single
27,average,graduated from college/university,white,74,40000,artistic / musical / writer,straight,agnosticism and laughing about it,m,aries and it&rsquo;s fun to think about,single
25,fit,graduated from two-year college,"pacific islander, hispanic / latin",68,50000,medicine / health,straight,catholicism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,single
24,athletic,working on college/university,white,74,40000,medicine / health,straight,catholicism,m,cancer,single
59,a little extra,graduated from masters program,white,70,20000,sales / marketing / biz dev,straight,agnosticism and laughing about it,m,aquarius but it doesn&rsquo;t matter,single
33,thin,graduated from masters program,indian,63,100000,executive / management,straight,,f,pisces but it doesn&rsquo;t matter,single
21,athletic,working on college/university,black,66,40000,artistic / musical / writer,straight,christianity and very serious about it,m,aries but it doesn&rsquo;t matter,single
38,overweight,,white,74,30000,banking / financial / real estate,straight,christianity but not too serious about it,m,virgo but it doesn&rsquo;t matter,single
21,fit,graduated from college/university,,67,20000,education / academia,straight,agnosticism but not too serious about it,f,leo but it doesn&rsquo;t matter,single
32,fit,graduated from college/university,"asian, white",66,40000,education / academia,straight,,m,aries and it&rsquo;s fun to think about,seeing someone
29,a little extra,graduated from high school,hispanic / latin,72,50000,medicine / health,straight,catholicism,m,pisces,single
25,average,graduated from college/university,white,65,60000,science / tech / engineering,bisexual,atheism and laughing about it,f,,available
35,average,graduated from college/university,white,73,100000,science / tech / engineering,straight,christianity but not too serious about it,m,sagittarius and it&rsquo;s fun to think about,single
20,average,working on two-year college,asian,67,20000,other,straight,other and somewhat serious about it,m,sagittarius and it&rsquo;s fun to think about,single
27,fit,graduated from masters program,"hispanic / latin, white",70,80000,,straight,,m,,single
25,a little extra,,white,72,100000,computer / hardware / software,straight,atheism and somewhat serious about it,m,,single
44,fit,graduated from college/university,white,69,150000,science / tech / engineering,straight,atheism and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,single
25,athletic,graduated from college/university,white,70,100000,science / tech / engineering,straight,,m,,single
30,athletic,working on ph.d program,other,70,20000,student,straight,,m,virgo but it doesn&rsquo;t matter,single
39,fit,graduated from college/university,white,68,150000,law / legal services,straight,agnosticism but not too serious about it,m,aquarius and it&rsquo;s fun to think about,single
32,thin,graduated from college/university,white,73,30000,other,gay,other but not too serious about it,m,virgo and it&rsquo;s fun to think about,single
24,average,graduated from college/university,white,68,30000,artistic / musical / writer,straight,atheism and very serious about it,m,virgo but it doesn&rsquo;t matter,single
22,,graduated from masters program,white,73,100000,,straight,atheism but not too serious about it,m,,single
25,athletic,working on masters program,asian,67,100000,computer / hardware / software,straight,,m,capricorn and it&rsquo;s fun to think about,single
32,thin,graduated from college/university,white,63,50000,medicine / health,straight,agnosticism,f,,single
36,fit,graduated from masters program,white,73,150000,science / tech / engineering,straight,other and laughing about it,m,scorpio but it doesn&rsquo;t matter,single
27,curvy,graduated from college/university,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other",65,20000,hospitality / travel,straight,other and laughing about it,f,gemini and it&rsquo;s fun to think about,seeing someone
21,curvy,working on college/university,"asian, black",66,20000,sales / marketing / biz dev,straight,christianity,f,taurus and it&rsquo;s fun to think about,single
42,athletic,graduated from masters program,white,67,50000,education / academia,straight,agnosticism,m,gemini but it doesn&rsquo;t matter,single
34,average,dropped out of space camp,white,64,40000,entertainment / media,straight,agnosticism,f,taurus and it&rsquo;s fun to think about,single
41,athletic,graduated from college/university,white,73,80000,computer / hardware / software,bisexual,atheism and somewhat serious about it,m,pisces and it&rsquo;s fun to think about,single
34,curvy,graduated from masters program,"white, other",68,100000,computer / hardware / software,bisexual,atheism and very serious about it,m,gemini but it doesn&rsquo;t matter,single
40,average,graduated from space camp,white,70,100000,science / tech / engineering,straight,christianity and laughing about it,m,gemini but it doesn&rsquo;t matter,single
28,athletic,dropped out of college/university,,73,80000,artistic / musical / writer,straight,,m,capricorn and it&rsquo;s fun to think about,single
33,a little extra,graduated from masters program,white,66,150000,computer / hardware / software,straight,,m,,single
31,athletic,graduated from college/university,,71,40000,,straight,,m,scorpio and it&rsquo;s fun to think about,single
30,fit,working on college/university,white,69,20000,artistic / musical / writer,straight,atheism,m,sagittarius,single
34,athletic,working on ph.d program,white,73,20000,student,straight,agnosticism,m,cancer but it doesn&rsquo;t matter,single
28,athletic,working on two-year college,white,73,60000,political / government,straight,other but not too serious about it,m,pisces and it&rsquo;s fun to think about,single
21,thin,working on space camp,white,60,20000,artistic / musical / writer,bisexual,atheism and very serious about it,f,aries but it doesn&rsquo;t matter,single
22,average,working on high school,white,61,20000,other,straight,catholicism but not too serious about it,f,aries but it doesn&rsquo;t matter,single
40,average,graduated from college/university,white,67,150000,computer / hardware / software,straight,agnosticism and very serious about it,m,libra but it doesn&rsquo;t matter,seeing someone
39,,graduated from college/university,white,66,100000,science / tech / engineering,bisexual,atheism and very serious about it,m,capricorn but it doesn&rsquo;t matter,available
39,fit,college/university,,67,100000,entertainment / media,straight,catholicism and laughing about it,m,leo but it doesn&rsquo;t matter,single
38,fit,graduated from college/university,white,67,50000,other,straight,atheism and laughing about it,m,aries and it&rsquo;s fun to think about,single
31,fit,graduated from masters program,white,66,70000,computer / hardware / software,straight,christianity but not too serious about it,f,virgo and it&rsquo;s fun to think about,single
26,fit,graduated from college/university,white,70,60000,computer / hardware / software,straight,atheism,m,,single
47,average,graduated from college/university,white,71,150000,computer / hardware / software,straight,,m,sagittarius but it doesn&rsquo;t matter,single
26,used up,dropped out of space camp,,65,80000,computer / hardware / software,straight,,f,cancer but it doesn&rsquo;t matter,single
30,average,dropped out of college/university,"hispanic / latin, white",65,20000,,gay,other,m,leo and it&rsquo;s fun to think about,single
37,athletic,graduated from college/university,white,72,100000,science / tech / engineering,straight,,m,aquarius and it&rsquo;s fun to think about,single
28,average,graduated from college/university,white,75,100000,computer / hardware / software,straight,,m,,single
26,skinny,graduated from college/university,white,68,40000,science / tech / engineering,straight,,f,scorpio,single
25,average,graduated from masters program,white,72,50000,medicine / health,straight,,m,virgo but it doesn&rsquo;t matter,single
35,fit,graduated from college/university,asian,66,100000,computer / hardware / software,straight,christianity,m,,single
21,fit,working on two-year college,"native american, white",68,20000,other,straight,agnosticism and laughing about it,f,leo but it doesn&rsquo;t matter,single
36,athletic,,white,74,100000,,straight,,m,,single
32,athletic,graduated from masters program,white,74,150000,,straight,,m,,single
26,fit,,,63,100000,other,straight,,m,,single
23,average,working on college/university,"asian, white",65,20000,other,straight,agnosticism but not too serious about it,f,taurus and it&rsquo;s fun to think about,single
24,overweight,graduated from college/university,asian,68,20000,unemployed,straight,atheism but not too serious about it,m,sagittarius and it&rsquo;s fun to think about,single
37,fit,graduated from law school,"indian, white",69,150000,,straight,,m,,single
28,fit,graduated from college/university,white,69,100000,computer / hardware / software,straight,agnosticism and laughing about it,m,cancer and it&rsquo;s fun to think about,single
28,average,dropped out of college/university,"black, native american, white",71,80000,entertainment / media,straight,,m,sagittarius,single
43,athletic,graduated from ph.d program,white,71,150000,science / tech / engineering,straight,,m,aquarius,single
24,athletic,working on college/university,white,66,20000,education / academia,straight,buddhism but not too serious about it,f,pisces and it matters a lot,single
24,fit,working on college/university,hispanic / latin,64,30000,sales / marketing / biz dev,gay,agnosticism and laughing about it,f,aquarius and it&rsquo;s fun to think about,single
44,average,masters program,white,71,100000,other,straight,other and somewhat serious about it,m,libra but it doesn&rsquo;t matter,single
38,average,dropped out of college/university,white,68,100000,executive / management,straight,atheism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,single
18,average,working on college/university,"hispanic / latin, white",71,20000,student,straight,agnosticism and laughing about it,m,leo but it doesn&rsquo;t matter,single
21,average,working on college/university,white,71,20000,student,straight,agnosticism but not too serious about it,m,gemini and it&rsquo;s fun to think about,single
28,average,graduated from college/university,white,73,30000,hospitality / travel,straight,agnosticism and laughing about it,m,taurus but it doesn&rsquo;t matter,single
43,fit,graduated from masters program,white,69,70000,political / government,straight,other and somewhat serious about it,m,,single
25,athletic,graduated from college/university,other,69,30000,sales / marketing / biz dev,straight,buddhism but not too serious about it,m,leo but it doesn&rsquo;t matter,single
25,thin,graduated from college/university,white,70,80000,computer / hardware / software,bisexual,agnosticism and somewhat serious about it,f,taurus but it doesn&rsquo;t matter,available
26,fit,graduated from college/university,asian,67,20000,other,straight,buddhism and somewhat serious about it,m,aries and it&rsquo;s fun to think about,single
34,a little extra,graduated from college/university,white,67,50000,education / academia,straight,other,f,pisces but it doesn&rsquo;t matter,single
27,athletic,graduated from med school,white,74,50000,medicine / health,straight,catholicism but not too serious about it,m,gemini but it doesn&rsquo;t matter,single
25,athletic,graduated from college/university,indian,70,40000,science / tech / engineering,straight,hinduism and very serious about it,m,aries but it doesn&rsquo;t matter,single
27,,working on ph.d program,white,71,20000,student,straight,judaism and laughing about it,m,,single
25,fit,graduated from college/university,white,70,80000,computer / hardware / software,straight,agnosticism and somewhat serious about it,m,,single
36,fit,graduated from masters program,white,71,50000,artistic / musical / writer,straight,agnosticism,m,virgo and it&rsquo;s fun to think about,single
45,average,graduated from high school,white,66,20000,other,straight,christianity but not too serious about it,m,capricorn and it&rsquo;s fun to think about,single
29,fit,graduated from college/university,white,71,80000,science / tech / engineering,straight,,m,cancer,single
29,fit,graduated from masters program,"white, other",71,30000,political / government,straight,judaism but not too serious about it,m,taurus,single
24,skinny,graduated from college/university,white,68,80000,computer / hardware / software,straight,judaism but not too serious about it,m,,single
33,average,graduated from space camp,hispanic / latin,68,20000,rather not say,straight,,m,virgo but it doesn&rsquo;t matter,single
25,average,graduated from high school,white,70,20000,other,bisexual,atheism and laughing about it,m,taurus and it&rsquo;s fun to think about,single
28,average,,white,71,20000,,bisexual,atheism,m,leo and it&rsquo;s fun to think about,available
28,,graduated from college/university,white,70,50000,science / tech / engineering,straight,,m,aries but it doesn&rsquo;t matter,single
21,average,working on two-year college,white,72,20000,sales / marketing / biz dev,straight,,m,leo but it doesn&rsquo;t matter,single
20,average,two-year college,,72,40000,construction / craftsmanship,straight,christianity,m,aries,single
24,fit,dropped out of college/university,white,72,100000,computer / hardware / software,gay,buddhism and laughing about it,m,gemini but it doesn&rsquo;t matter,single
31,,graduated from law school,indian,70,80000,law / legal services,straight,catholicism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,single
33,athletic,graduated from masters program,indian,66,100000,executive / management,straight,,m,,single
19,full figured,working on college/university,white,69,20000,sales / marketing / biz dev,straight,catholicism but not too serious about it,f,virgo and it&rsquo;s fun to think about,single
24,fit,graduated from masters program,indian,70,80000,computer / hardware / software,straight,atheism,m,cancer but it doesn&rsquo;t matter,single
42,average,graduated from college/university,white,70,70000,entertainment / media,gay,buddhism and somewhat serious about it,m,taurus but it doesn&rsquo;t matter,single
22,athletic,working on masters program,"middle eastern, indian",72,20000,student,straight,,m,scorpio and it&rsquo;s fun to think about,single
25,a little extra,working on two-year college,hispanic / latin,71,60000,computer / hardware / software,straight,other and laughing about it,m,capricorn but it doesn&rsquo;t matter,single
37,a little extra,graduated from college/university,white,72,70000,computer / hardware / software,straight,atheism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,single
60,average,graduated from college/university,"hispanic / latin, other",68,60000,education / academia,straight,christianity and somewhat serious about it,m,capricorn but it doesn&rsquo;t matter,single
29,,graduated from ph.d program,white,72,150000,science / tech / engineering,straight,atheism and somewhat serious about it,m,leo but it doesn&rsquo;t matter,single
30,fit,dropped out of space camp,white,62,50000,other,straight,agnosticism and laughing about it,f,sagittarius and it&rsquo;s fun to think about,single
23,,graduated from college/university,hispanic / latin,72,20000,other,straight,catholicism,m,aries,single
29,fit,graduated from college/university,white,72,60000,science / tech / engineering,gay,atheism and laughing about it,m,scorpio but it doesn&rsquo;t matter,available
23,athletic,working on ph.d program,white,75,20000,student,straight,agnosticism,m,leo,single
37,fit,graduated from college/university,,68,60000,other,straight,atheism and laughing about it,m,libra and it&rsquo;s fun to think about,single
40,average,graduated from masters program,"asian, white",70,100000,sales / marketing / biz dev,straight,,m,sagittarius and it&rsquo;s fun to think about,single
23,curvy,working on masters program,white,69,20000,computer / hardware / software,straight,atheism but not too serious about it,m,cancer but it doesn&rsquo;t matter,seeing someone
22,curvy,dropped out of college/university,"white, other",63,30000,artistic / musical / writer,straight,other and very serious about it,f,cancer and it&rsquo;s fun to think about,single
31,fit,graduated from college/university,indian,68,100000,computer / hardware / software,straight,hinduism but not too serious about it,m,virgo and it&rsquo;s fun to think about,single
28,average,graduated from high school,white,73,100000,computer / hardware / software,straight,other and laughing about it,m,capricorn and it&rsquo;s fun to think about,single
32,a little extra,graduated from college/university,"asian, white",70,50000,other,straight,,m,aries,single
